,action,assignee,assignees_name,comments,event_created_at,issue_closed_at,issue_created_at,issue_id,labels_color,labels_name,mclose_created,mdue_created,milestone,milestone_closed_at,milestone_created_at,milestone_due_on,title,user
130,milestoned,thegreyd,"[u'thegreyd', u'KaustubhG']",2,1484950347.0,1485440336.0,1484950334.0,21,[],[],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Stuff we need to discuss with the professor,DevArenaCN
131,assigned,thegreyd,"[u'thegreyd', u'KaustubhG']",2,1484950343.0,1485440336.0,1484950334.0,21,[],[],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Stuff we need to discuss with the professor,KaustubhG
132,assigned,thegreyd,"[u'thegreyd', u'KaustubhG']",2,1484950343.0,1485440336.0,1484950334.0,21,[],[],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Stuff we need to discuss with the professor,thegreyd
133,renamed,[],[],2,1484950159.0,1485441366.0,1484949813.0,20,[u'1d76db'],[u'Deliverables'],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Prepare specifics to be discussed during user-interviews,KaustubhG
134,closed,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",11,1484949961.0,1484949961.0,1484759455.0,15,[u'128A0C'],[u'help wanted'],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Document/list points of discussion and advice from professor,thegreyd
135,milestoned,thegreyd,"[u'thegreyd', u'DevArenaCN']",18,1484949843.0,1485440426.0,1484949790.0,19,[u'1d76db'],[u'Deliverables'],1103300.0,992811.0,User/Problem Feedback,1485441689.0,1484338389.0,1485331200.0,Prepare Questionnaire for user-feedback,KaustubhG
136,milestoned,[],[],2,1484949834.0,1485441366.0,1484949813.0,20,[u'1d76db'],[u'Deliverables'],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Prepare specifics to be discussed during user-interviews,KaustubhG
137,demilestoned,[],[],1,1484838515.0,1484838502.0,1484340113.0,6,[],[],322395.0,215287.0,Locate the problem,1484660708.0,1484338313.0,1484553600.0,Create tradeoff table,KaustubhG
138,milestoned,[],[],1,1484838515.0,1484838502.0,1484340113.0,6,[],[],322395.0,215287.0,Locate the problem,1484660708.0,1484338313.0,1484553600.0,Create tradeoff table,KaustubhG
139,closed,[],[],1,1484838502.0,1484838502.0,1484340113.0,6,[],[],322395.0,215287.0,Locate the problem,1484660708.0,1484338313.0,1484553600.0,Create tradeoff table,KaustubhG
140,closed,[],[],0,1484836956.0,1484836956.0,1484836952.0,18,[],[],None,None,None,None,None,None,Update libraries/resorces for implimentations,DevArenaCN
141,merged,[],[],0,1484836956.0,1484836956.0,1484836952.0,18,[],[],None,None,None,None,None,None,Update libraries/resorces for implimentations,DevArenaCN
142,referenced,[],[],0,1484836956.0,1484836956.0,1484836952.0,18,[],[],None,None,None,None,None,None,Update libraries/resorces for implimentations,DevArenaCN
143,closed,[],[],0,1484773499.0,1484773499.0,1484773495.0,17,[],[],None,None,None,None,None,None,"Adding paper for gaits recognition, iOS system",DevArenaCN
144,merged,[],[],0,1484773499.0,1484773499.0,1484773495.0,17,[],[],None,None,None,None,None,None,"Adding paper for gaits recognition, iOS system",DevArenaCN
145,referenced,[],[],0,1484773499.0,1484773499.0,1484773495.0,17,[],[],None,None,None,None,None,None,"Adding paper for gaits recognition, iOS system",DevArenaCN
146,closed,[],[],0,1484773274.0,1484773274.0,1484773267.0,16,[],[],None,None,None,None,None,None,Adding papers for gaits recognition using mobile devices,DevArenaCN
147,merged,[],[],0,1484773274.0,1484773274.0,1484773267.0,16,[],[],None,None,None,None,None,None,Adding papers for gaits recognition using mobile devices,DevArenaCN
148,referenced,[],[],0,1484773274.0,1484773274.0,1484773267.0,16,[],[],None,None,None,None,None,None,Adding papers for gaits recognition using mobile devices,DevArenaCN
149,milestoned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",11,1484770982.0,1484949961.0,1484759455.0,15,[u'128A0C'],[u'help wanted'],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Document/list points of discussion and advice from professor,DevArenaCN
150,labeled,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",11,1484759517.0,1484949961.0,1484759455.0,15,[u'128A0C'],[u'help wanted'],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Document/list points of discussion and advice from professor,thegreyd
151,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",11,1484759465.0,1484949961.0,1484759455.0,15,[u'128A0C'],[u'help wanted'],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Document/list points of discussion and advice from professor,KaustubhG
152,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",11,1484759465.0,1484949961.0,1484759455.0,15,[u'128A0C'],[u'help wanted'],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Document/list points of discussion and advice from professor,DevArenaCN
153,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",11,1484759458.0,1484949961.0,1484759455.0,15,[u'128A0C'],[u'help wanted'],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Document/list points of discussion and advice from professor,thegreyd
154,closed,[],[],3,1484759376.0,1484759376.0,1484627778.0,13,[],[],None,None,None,None,None,None,this is a GREAT list,thegreyd
155,demilestoned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",5,1484756512.0,1485440384.0,1484506519.0,9,[],[],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Password Management,DevArenaCN
156,milestoned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",5,1484756512.0,1485440384.0,1484506519.0,9,[],[],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Password Management,DevArenaCN
157,demilestoned,[],[],2,1484756471.0,1485440475.0,1484338800.0,4,[],[],1103300.0,992811.0,User/Problem Feedback,1485441689.0,1484338389.0,1485331200.0,Feedback on survey,DevArenaCN
158,milestoned,[],[],2,1484756471.0,1485440475.0,1484338800.0,4,[],[],1103300.0,992811.0,User/Problem Feedback,1485441689.0,1484338389.0,1485331200.0,Feedback on survey,DevArenaCN
159,closed,[],[],1,1484756444.0,1484756444.0,1484338731.0,3,[],[],418393.0,1079455.0,Feedback from the professor,1484756538.0,1484338145.0,1485417600.0,Ask feedback on those problems,DevArenaCN
160,closed,timm,"[u'timm', u'effat', u'thegreyd', u'DevArenaCN', u'KaustubhG']",1,1484756431.0,1484756431.0,1484411459.0,7,[u'cc317c'],[u'question'],418393.0,1079455.0,Feedback from the professor,1484756538.0,1484338145.0,1485417600.0,Searching in only software engineering literature,DevArenaCN
161,closed,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",9,1484660699.0,1484660699.0,1484338501.0,1,[u'cc317c'],[u'question'],322395.0,215287.0,Locate the problem,1484660708.0,1484338313.0,1484553600.0,Find literature,DevArenaCN
162,demilestoned,timm,"[u'timm', u'effat', u'thegreyd', u'DevArenaCN', u'KaustubhG']",1,1484660689.0,1484756431.0,1484411459.0,7,[u'cc317c'],[u'question'],418393.0,1079455.0,Feedback from the professor,1484756538.0,1484338145.0,1485417600.0,Searching in only software engineering literature,DevArenaCN
